,PROBLEM STATEMENT ,,,,,,,,,,,,
,Blending,,Recognize letter sound correspondence,"Train carriages of letter or letters joined with thread of a word or letters of a word in slide could be shown blend together to form a word. Alternatively, individual letters could be shown in boxes as well to be read together.And vice versa. This can be also used for singular and plural.",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Drag and Drop,,,Drag and drop the correct blend.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
,Game - Blending,,,Letters of a word are shown and sounded. Student has to blend all the letters together and read as a word. Match the word with the correct object.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Tap and speak,,,Students tap and say the first letter sound of the object shown in the picture.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
,Game - Fill the bottle of words ending with same sound,,,Find and group words with same first/second.../last letters. We can show the objects of a word instead.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
,Read With Me ,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,
,Decodable texts containing the words learnt that week. 4 to 5 lines at the maximum.,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
,Games -> Usual drag and drop // choose the correct answer works. WH questions.,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
,Jumbled sentence with 4 words. Students order it correctly. ,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
,Tap and Speak - students read the sentences,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,,,,,,,,,,,,,
,Week 1 Session 3 (Revision),,,,,,,,,,,,
,,,,,,,,,,,,,
,Recap video,,,"Recognize and name focus words during a timed slideshow, improving their speed of word retrieval.",,,,,,,,,
,Blending & Segmenting,,,Games finalized for this.,,,,,,,,,
,Read With Me ,,,Games finalized for this.,,,,,,,,,
,,,,,,,,,,,,,
,PROPOSED INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,
,Level 3  (Grade 4 & 5 roughly),Time ,Learning Outcome (general),Description ,L,LC,S,R,Rc,W,Grammar,,
,Week 1 Session 1 ,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Rhyme Time,,Listen to Tamil rhyme; identify and say the focus words orally,Rhyme consists of focus words/letters,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
