,PROPOSED INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,,
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Week 1
 Session 3",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,Revision video - Numbers 21 to 50,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Drag and drop, drag and fill, match it, number line",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Level 3 ( Grade 3 )
Week 1
 Session 1  ",,,,Number Recognition,Counting & Cardinality,Comparing,Ordering,Place value,Addition,Subtraction,Multiplication,Division,
,"1. Rhyme Time
Introduction - Multiples of 100 ( 100 to 500 )",,, Students will visually connect quantity counts to 3-digit number names.," A repeating number rhyme (100–500) plays while objects pop up one by one to match the count. Students listen first, then sing along while watching.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
,"Game 1 
Spot it",,Number Recognition,Students will be able to recognize and select written digits accurately based on audio cues.,"The screen is filled with scattered single digits where each number repeats several times. When the audio says ""Spot 130,"" the student must find and tap every instance (every single 130) shown on the screen.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"2. Story time
Number - 100 - 500",,,Students will conceptualize the H-T-O structure and the role of zero in number formation.,"The story explains how to form numbers using Hundreds, Tens, and Ones bundles. It also explains the Zero Guard (placeholder) to avoid common writing errors.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
,"Game 1
Drag and drop",,Place Value / Multiples of 100,To skip-count in tens and identify the total value of multiple ten-unit groups.,Several bundles (each containing exactly hundred items) are displayed. Students must skip-count by hundreds to find the total value and drag the correct number from the options into the answer box.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"3. Let us learn
Explanation Video",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
,"Game 1
Drag and drop",,Place Value / Multiples of 100,To skip-count in hundreds and identify the total value of multiple hundred-unit groups.,Several bundles (each containing exactly hundred items) are displayed. Students must skip-count by tens to find the total value and drag the correct number from the options into the answer box.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 2
Drag and Fill",,Place Value (Decomposition),represent a given number using a collection of objects,"A 3-digit number is displayed (e.g., 452). Three baskets are provided: Hundreds, Tens, and Ones. Students must drag and drop the correct quantities—4 Hundred-bundles, 5 Ten-bundles, and 2 Loose sticks—into their respective baskets.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
,"Game 3
Match it",,Place Value (Representation),one-to-one correspondence between pictures and numbers.,"Sets of Hundred-bundles, Ten-bundles and Loose sticks will be on one side, and their corresponding 3-digit numbers (100 to 500) will be on the other side. Students need to draw lines to match the correct bundle set to its number.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"4. Arranging the numbers  

Missing Numbers
",,,To sequence numbers and identify missing numbers in a series.,A demo video will be played to show how to find and fill in missing numbers.,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1 
Number line",,Sequencing,To sequence numbers and identify missing numbers in a series.,"A horizontal number line is displayed with a few empty slots. Below the line, four fish-shaped cards containing different numbers are swimming. Students must identify the sequence of the number line and drag the correct fish into its matching missing spot",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Level 3 ( Grade 3 )
  Week 1  
Session 2  ",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Rhyme Time
Introduction - Multiples of 100 ( 500 to 900 )",,, Students will visually connect quantity counts to 3-digit number names.," A repeating number rhyme (500–900) plays while objects pop up one by one to match the count. Students listen first, then sing along while watching.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1 
Spot it",,Number Recognition,Students will be able to recognize and select written digits accurately based on audio cues.,"The screen is filled with scattered single digits where each number repeats several times. When the audio says ""Spot 630,"" the student must find and tap every instance (every single 630) shown on the screen.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"2. Story time
Number - 500 - 999",,,Students will conceptualize the H-T-O structure and the role of zero in number formation.,"The story explains how to form numbers using Hundreds, Tens, and Ones bundles. It also explains the Zero Guard (placeholder) to avoid common writing errors.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
,"Game 1
Drag and drop",,Place Value / Multiples of 100,To skip-count in tens and identify the total value of multiple ten-unit groups.,Several bundles (each containing exactly hundred items) are displayed. Students must skip-count by hundreds to find the total value and drag the correct number from the options into the answer box.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"3. Let us learn
Explanation Video",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
,"Game 1
Drag and drop",,Place Value / Multiples of 100,To skip-count in hundreds and identify the total value of multiple hundred-unit groups.,Several bundles (each containing exactly hundred items) are displayed. Students must skip-count by tens to find the total value and drag the correct number from the options into the answer box.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 2
Drag and Fill",,Place Value (Decomposition),represent a given number using a collection of objects,"A 3-digit number is displayed (e.g., 652). Three baskets are provided: Hundreds, Tens, and Ones. Students must drag and drop the correct quantities—6 Hundred-bundles, 5 Ten-bundles, and 2 Loose sticks—into their respective baskets.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
,"Game 3
Match it",,Place Value (Representation),one-to-one correspondence between pictures and numbers.,"Sets of Hundred-bundles, Ten-bundles and Loose sticks will be on one side, and their corresponding 3-digit numbers (500 to 999) will be on the other side. Students need to draw lines to match the correct bundle set to its number.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"4. Arranging the numbers  

Missing Numbers
",,,To sequence numbers and identify missing numbers in a series.,A demo video will be played to show how to find and fill in missing numbers.,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1 
Number line",,Sequencing,To sequence numbers and identify missing numbers in a series.,"A horizontal number line is displayed with a few empty slots. Below the line, four fish-shaped cards containing different numbers are swimming. Students must identify the sequence of the number line and drag the correct fish into its matching missing spot",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Level 3 ( Grade 3 )
  Week 1  
Session 3  ",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,Revision video - Numbers 100 to 999,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Drag and drop, drag and fill, match it, number line",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Level 3 ( Grade 3 )
  Week 2   ( Place value & Comparison )
Session 1",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"1. Rhyme Time

Introduction ",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1
Balance",,Place value,,"Students must drag the correct number of items to the right tray to balance the scale.
Example 1: If the number is 80, the student drags and drops 8 Pouches.
Example 2: If the number is 300, the student drags and drops 3 Sacks.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"2. Story time
Animated video",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1 
Count, Pick , Drop   (or)    Number Builder",,Place value,To identify and form a 3-digit number by counting its individual place values.,"Place value boxes (H, T, O) are shown with different counts of items in each. Students must count the items and drag the matching 3-digit number into the empty slot.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 2
Color the seeds",,Place value,To represent a 3-digit number by identifying the correct quantity for each place value position.,"An audio prompt or a visual number (e.g., 211) is given. Three boxes (H, T, O) containing empty seeds are shown. Students must tap to ""color"" the correct number of seeds in each box to represent the given number.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 3
Place value Drag and fill",,Place value,,"A 3-digit number (e.g., 461) is shown as the target. Below it are empty H, T, and O placeholder boxes. Students must drag the correct number of Hundred-seed bags, Ten-seed bags, and individual Ones-seeds into their corresponding boxes to match the target number.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Les us learn
Explanation Video
Place value & Zero as place holder",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
