CURRENT INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,,,,,,
"Baseline assessment (6 questions, 20 seconds per question average = 3-5 minutes)",,,,,,,,,,,,,,,,,
Level 1  (Grade 1/2 roughly),,,,,,,,,,,,,,,,,
Week 1 Session 1 ,Time ,Learning Outcome (general),Description and SK's critiques,L,,S,R,Rc,W,,Notes to Kannan ,,,,,,
Phonics -2,,To read simple decodable texts having phonic words,Fun decodable texts in I do-We do- You do style for readign with timer. ,,,,,,,,,,,,,,
(2 games) Game type 1 - Drag image over images,,"Question has audio, students drag the correct word ",,,,,,,,,,,,,,,
(2 games) Game type 2  - Drag image over images,,Question has a line from the chant with a missing word - students drag and drop the correct word ,,,,,,,,,,,,,,,
(2 games) Game type 3  - Tap and Speak ,,Students tap and read a line from the chant,,,,,,,,,,,,,,,
Words I see (same for both session 1 and session 2),,To read sight words with repetition ,Sight words appear and are read. Then the student is asked to repeat with change in color of the word,,,,,,,,,,,,,,
(1 game) Game type 1 - Drag and Drop - Images,,5*5 match the following -> sight words matched to the audio sight words.,,,,,,,,,,,,,,,
(2 games) Game type 2 - Drag image over image,,Question in coloured button with audio of the sight word and students drag the correct word.,,,,,,,,,,,,,,,
(2 games) Game type 3  - Tap and Speak ,,Students tap and read the sight word.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PROPOSED INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,,,,,,
Level 1  (Grade 1/2 roughly),Time ,Learning Outcome (general),Description ,L,LC,S,R,Rc,W,Grammar,,,,,,,
Week 1 Session 1 ,,,,,,,,,,,,,,,,,
Introduction to the Focus words + Rhyme Time,,"name core objects from everyday themes (Family, Emotions, etc.) using visual and audio cues.",The focus vocab of that week is introduced through a green screen song,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 1: Drag and Drop,,Identify picture that match a specific focus word.,Game 1: Existing drag and drop - But we need to improve the audio options (use actual audio icons or something closer instead of coloured buttons we have now),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 2: Spot It,,Identify picture that match a specific focus word.,Game 2: Spot all the ____ - a 4*2 table with 8 images. Students choose all the images of that focus vocab.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
